Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",134.620000,-120.650000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",134.620000,-130.810000,180.000000,top
"R1","5k","R_0805_2012Metric",127.000000,-130.810000,0.000000,top
"R2","2k","R_0805_2012Metric",127.000000,-144.145000,180.000000,top
"R3","2k","R_0805_2012Metric",132.080000,-143.510000,0.000000,top
"R4","2k","R_0805_2012Metric",135.890000,-135.890000,90.000000,top
"R5","200","R_0805_2012Metric",163.830000,-148.590000,180.000000,top
"R6","200","R_0805_2012Metric",163.830000,-138.430000,90.000000,top
"R7","200","R_0805_2012Metric",163.830000,-134.620000,90.000000,top
"U2","TXS0104ED","SOIC127P600X175-14N",129.540000,-125.730000,270.000000,top
"U3","SN75175D","SOIC127P600X175-16N",129.540000,-138.430000,90.000000,top
